name,type,start_time,duration,"data"
"TX","data",10.5537364,0.0000095,0xFF
"TX","data",10.55374648,0.0000095,0xFF
"TX","data",10.55375657,0.0000095,0xFE
"TX","data",10.55376665,0.0000095,0x22
"TX","data",10.55377673,0.0000095,0x83
"TX","data",10.5537868,0.0000095,0x2A
"TX","data",10.55379688,0.0000095,0x04
"TX","data",10.55380697,0.0000095,0x01
"TX","data",10.55381706,0.0000095,0xFF
"TX","data",10.55382715,0.0000095,0x07
"TX","data",10.55383724,0.0000095,0x0A
"TX","data",10.55384732,0.0000095,0x00
"TX","data",10.55385739,0.0000095,0x02
"TX","data",10.55386747,0.0000095,0xFF
"TX","data",10.55387755,0.0000095,0x07
"TX","data",10.55388764,0.0000095,0x0A
"TX","data",10.55389772,0.0000095,0x00
"TX","data",10.5539078,0.0000095,0x03
"TX","data",10.55391789,0.0000095,0xFF
"TX","data",10.55392796,0.0000095,0x07
"TX","data",10.55393804,0.0000095,0x0A
"TX","data",10.55394811,0.0000095,0x00
"TX","data",10.55395818,0.0000095,0x04
"TX","data",10.55396824,0.0000095,0xFF
"TX","data",10.55397832,0.0000095,0x07
"TX","data",10.55398839,0.0000095,0x0A
"TX","data",10.55399847,0.0000095,0x00
"TX","data",10.55400856,0.0000095,0x05
"TX","data",10.55401864,0.0000095,0xFF
"TX","data",10.55402872,0.0000095,0x07
"TX","data",10.55403881,0.0000095,0x0A
"TX","data",10.5540489,0.0000095,0x00
"TX","data",10.55405898,0.0000095,0x06
"TX","data",10.55406907,0.0000095,0xFF
"TX","data",10.55407916,0.0000095,0x07
"TX","data",10.55408924,0.0000095,0x0A
"TX","data",10.55409932,0.0000095,0x00
"TX","data",10.5541094,0.0000095,0xB9
"TX","data",13.06363957,0.0000095,0xFF
"TX","data",13.06364965,0.0000095,0xFF
"TX","data",13.06365973,0.0000095,0xFE
"TX","data",13.06366981,0.0000095,0x22
"TX","data",13.0636799,0.0000095,0x83
"TX","data",13.06368997,0.0000095,0x2A
"TX","data",13.06370005,0.0000095,0x04
"TX","data",13.06371014,0.0000095,0x01
"TX","data",13.06372021,0.0000095,0xFF
"TX","data",13.06373029,0.0000095,0x07
"TX","data",13.06374038,0.0000095,0x0A
"TX","data",13.06375045,0.0000095,0x00
"TX","data",13.06376052,0.0000095,0x02
"TX","data",13.06377059,0.0000095,0xFF
"TX","data",13.06378067,0.0000095,0x07
"TX","data",13.06379076,0.0000095,0x0A
"TX","data",13.06380083,0.0000095,0x00
"TX","data",13.06381092,0.0000095,0x03
"TX","data",13.06382099,0.0000095,0xFF
"TX","data",13.06383107,0.0000095,0x07
"TX","data",13.06384114,0.0000095,0x0A
"TX","data",13.0638512,0.0000095,0x00
"TX","data",13.06386127,0.0000095,0x04
"TX","data",13.06387134,0.0000095,0xFF
"TX","data",13.0638814,0.0000095,0x07
"TX","data",13.06389146,0.0000095,0x0A
"TX","data",13.06390152,0.0000095,0x00
"TX","data",13.06391159,0.0000095,0x05
"TX","data",13.06392166,0.0000095,0xFF
"TX","data",13.06393173,0.0000095,0x07
"TX","data",13.0639418,0.0000095,0x0A
"TX","data",13.06395186,0.0000095,0x00
"TX","data",13.06396194,0.0000095,0x06
"TX","data",13.06397202,0.0000095,0xFF
"TX","data",13.0639821,0.0000095,0x07
"TX","data",13.06399217,0.0000095,0x0A
"TX","data",13.06400225,0.0000095,0x00
"TX","data",13.06401232,0.0000095,0xB9
